Year,Contract Duration.MV,Age,G,G.Ln,G.Sqr,PA,PA.Ln,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,TB.Sqr,GDP,HBP,SH,SH.Sqr,SF,IBB,Rbat,Rbaser,Rdp,Rfield,Rpos,RAA,WAA,WAA.Sqr,Rrep,RAR,WAR,WAR.Stdz,WAR.Sqr,WAR.Exp,oWAR,dWAR,oRAR,Traded,FA,Ama,Outs,Outs.Sqr,Outs.Ln,RC,RC/G,AIR,BAbip,lgBA,lgOBP,lgSLG,lgOPS,OWn%,BtRuns,BtWins,TotA,SecA,ISO,PwrSpd,HR%,SO%,BB%,XBH%,IP%,LD%,Plays,Plays.Sqr,Plays.Ln,WPA,aLI,WPA/LI,Clutch,RE24,REW,boLI,PHlev,Yrs,cumulG,cumulPA,cumulPA.Ln,cumulAB,cumulAB.Ln,cumulR,cumulR.Ln,cumulH,cumulH.Ln,cumul2B,cumul2B.Ln,cumul3B,cumulHR,cumulRBI,cumulRBI.Ln,cumulSB,cumulCS,cumulBB,cumulSO,cumulBA,cumulOBP,cumulSLG,cumulSLG.Ln,cumulOPS,cumulOPS+,cumulOPS.Ln,cumulTB,cumulTB.Ln,cumulGDP,cumulHBP,cumulSH,cumulSH.Sqr,cumulSF,cumulIBB,First Year,League,Next WAR,Status.Eq.Agreed,Status.Eq.FA,Status.Eq.Signed,Status.Eq.Signed (A),Status.Eq.Signed (B),New Contract,Inferred Contract,Multiyear Contract,New Multiyear,Born,2B_po,BB_po,HR_po,IBB_po,3B_po,HBP_po,Championships,Wins,TB_po,AB_po,G_po,H_po,Losses,R_po,RBI_po,CS_po,GDP_po,PA_po,SH_po,SO_po,SB_po,SF_po,BA_po,OBP_po,SLG_po,OPS_po,Finish.Num,DS,LCS,WS,Champion,Payroll,Payroll.Ln,Switch.Eq.True,SalaryADJ.Ln
1998,1,30,144,4.9698133,20736,592,6.383506635,555,72,167,28,3,9,58,12,3,29,32,0.300900901,0.333333333,0.410810811,0.744144144,93.17599528,228,51984,19,1,1,1,6,4,-2,1,-2,5,-5,-3,-0.5,0.25,19,16,1.4,-0.068141439,1.96,4.055199967,0.9,-0.1,11,1,0,0,417,173889,6.033086222,72,4.611111111,109.2638889,0.303846154,0.271395833,0.342131944,0.429055556,0.7711875,0.473854167,-6.5,-0.6,0.651219512,0.178378378,0.10990991,10.28571429,0.015202703,0.054054054,0.048986486,0.067567568,0.878378378,0.243891892,612,374544,6.416732283,1.5,1.064722222,0.2,1.2,4.4,0.4,0.93119281,1.970540541,12,1354,5687,8.645938147,5173,8.55120807,721,6.580639137,1513,7.321849714,284,5.648974238,27,118,631,6.447305863,193,57,443,327,0.292,0.348,0.426,-0.853315933,0.774,110,4.700480366,2205,7.698482788,140,20,4,16,47,57,1987,1,-1.4,0,0,0,0,0,1,1,0,1,1968,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,27490387.5,17.12934696,1,15.98495592
1998,1,35,146,4.983606622,21316,627,6.440946541,563,84,157,32,1,22,85,22,8,42,102,0.278863233,0.335483871,0.456483126,0.791966997,106.3328414,257,66049,9,9,7,49,6,4,2,1,1,12,3,20,1.8,3.24,20,39,3.7,1.133363222,13.69,40.44730436,2.6,1.5,27,1,0,0,436,190096,6.077642243,88,5.4,107,0.303370787,0.269,0.34,0.424,0.764,0.55,4.7,0.4,0.761229314,0.277087034,0.177619893,22,0.035087719,0.162679426,0.066985646,0.087719298,0.709728868,0.16,663,439569,6.49677499,0.3,1.03,1.5,-1.2,14.8,1.4,0.94,2.36,14,1634,6954,8.847072313,6322,8.751790893,987,6.894670039,1657,7.412764017,328,5.793013608,66,176,718,6.576469569,306,84,465,1313,0.262,0.317,0.418,-0.872273846,0.735,98,4.584967479,2645,7.880426344,79,63,60,3600,44,29,1985,0,0.6,0,0,0,0,0,1,1,0,1,1963,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,89750727.14,18.31254669,1,15.44881249
1998,1,26,135,4.905274778,18225,470,6.152732695,396,65,102,19,1,15,54,7,3,69,90,0.257575758,0.370212766,0.424242424,0.79445519,107.5558022,168,28224,9,3,0,0,2,2,5,-1,1,5,-1,10,0.9,0.81,15,25,2.4,0.454251892,5.76,11.02317638,2,0.3,20,1,0,0,308,94864,5.730099783,66,5.548888889,108.8222222,0.296928328,0.270644444,0.341288889,0.428177778,0.769288889,0.543555556,6,0.6,0.797385621,0.351010101,0.166666667,9.545454545,0.031914894,0.191489362,0.146808511,0.074468085,0.623404255,0.191818182,487,237169,6.188264123,-0.4,1.102,0.8,-1.1,8.7,0.8,0.955811088,1.375858586,7,469,1596,7.375255778,1377,7.227662499,198,5.288267031,340,5.828945618,54,3.988984047,10,64,229,5.433722004,13,6,204,352,0.247,0.344,0.44,-0.820980552,0.784,105,4.65396035,606,6.406879986,28,4,2,4,9,14,1992,1,-0.9,0,0,0,0,0,1,1,0,0,1972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,48812496.5,17.70349691,1,14.75281224
1998,1,30,155,5.043425117,24025,672,6.510258341,585,95,157,25,3,8,63,29,12,70,94,0.268376068,0.351796407,0.362393162,0.71418957,85.682248,212,44944,12,8,2,4,5,0,-7,0,1,4,0,-3,-0.2,0.04,25,22,2.2,0.349773225,4.84,9.025013499,1.8,0.4,18,0,1,0,459,210681,6.12905021,79,4.6,111,0.305327869,0.274,0.343,0.436,0.779,0.444,-11,-1,0.67920354,0.242735043,0.094017094,12.54054054,0.011904762,0.139880952,0.104166667,0.053571429,0.726190476,0.22,725,525625,6.586171655,0,0.96,-0.3,0.3,4.1,0.4,0.94,0.34,9,982,3542,8.172446818,3098,8.038512021,475,6.163314804,778,6.656726524,99,4.59511985,29,22,266,5.583496309,215,84,321,392,0.251,0.327,0.323,-1.130102956,0.65,76,4.33073334,1001,6.908754779,49,34,72,5184,15,1,1990,1,1.6,0,0,0,0,0,1,1,0,1,1968,0,0,0,0,0,0,0,1,0,4,5,0,1,0,0,0,0,4,0,1,0,0,0,0,0,0,2,1,0,0,0,85021213,18.25841135,0,13.50004927
1998,1,32,124,4.820281566,15376,385,5.953243334,349,46,95,23,0,4,39,3,0,15,73,0.272206304,0.311827957,0.372492837,0.684320794,76.34607767,130,16900,11,6,13,169,2,1,-14,2,0,17,3,6,0.7,0.49,14,21,2,0.245294559,4,7.389056099,0.4,1.9,4,0,1,0,280,78400,5.634789603,39,3.7,111,0.332116788,0.274,0.343,0.436,0.779,0.351,-12.6,-1.2,0.581132075,0.151862464,0.100286533,3.428571429,0.01038961,0.18961039,0.038961039,0.07012987,0.711688312,0.22,396,156816,5.981414211,-1.9,1.01,-1.5,-0.3,-17.6,-1.6,1,1.79,10,507,1335,7.196686571,1205,7.094234846,150,5.010635294,270,5.598421959,63,4.143134726,5,21,110,4.700480366,29,5,67,263,0.224,0.275,0.337,-1.087672349,0.612,63,4.143134726,406,6.00635316,26,19,39,1521,5,16,1989,1,1.4,0,0,0,0,0,1,1,0,1,1966,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,19570155,16.78951626,1,12.77644288
1998,1,30,154,5.036952602,23716,681,6.523562306,609,107,205,31,2,40,115,0,0,61,144,0.336617406,0.402349486,0.591133005,0.993482491,152.8840216,360,129600,13,8,0,0,3,13,43,-3,-2,5,-9,33,3.3,10.89,25,58,5.6,2.125910551,31.36,270.4264074,5.2,-0.4,54,0,0,1,420,176400,6.040254711,144,9.2,111,0.385514019,0.274,0.343,0.436,0.779,0.738,47.2,4.3,1.028776978,0.354679803,0.254515599,0,0.058737151,0.211453744,0.089574156,0.107195301,0.628487518,0.29,684,467856,6.527957918,3.6,0.99,4.3,-0.7,43.8,4,0.91,0,8,1046,4452,8.401108712,3828,8.250097753,628,6.442540166,1165,7.060476366,199,5.293304825,10,230,752,6.622736324,28,17,519,954,0.304,0.394,0.542,-0.612489278,0.936,140,4.941642423,2074,7.637234389,94,71,0,0,34,118,1991,1,1.8,0,0,0,0,0,1,1,0,1,1968,0,1,0,0,0,0,0,0,0,14,3,0,1,0,0,0,0,15,0,7,0,0,0,0.066666667,0,0.066666667,2,1,0,0,0,69147881,18.05175797,1,16.0878133
1998,1,30,128,4.852030264,16384,473,6.159095388,415,56,104,21,1,31,85,1,3,54,113,0.25060241,0.334038055,0.530120482,0.864158537,120.3879188,220,48400,6,0,0,0,4,7,12,-3,1,-9,-5,-3,-0.4,0.16,15,12,1,-0.277098772,1,2.718281828,2,-1.5,21,0,1,0,324,104976,5.780743516,74,6.1,110,0.265454545,0.273,0.344,0.43,0.773,0.605,11,1,0.85,0.404819277,0.279518072,1.9375,0.065539112,0.238900634,0.114164905,0.11205074,0.581395349,0.19,482,232324,6.177944114,1.1,1.02,2,-0.9,17,1.6,0.98,1.21,7,683,2396,7.781555959,2189,7.691200098,269,5.59471138,553,6.315358002,126,4.836281907,8,114,372,5.918893854,7,8,180,577,0.253,0.309,0.474,-0.746547957,0.783,104,4.644390899,1037,6.944087208,39,7,2,4,18,25,1992,0,3.1,0,0,0,0,0,1,1,0,0,1968,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,71187064,18.08082167,0,15.18644822
1998,0,28,149,5.003946306,22201,533,6.278521424,488,76,124,23,7,23,75,4,6,40,140,0.254098361,0.310734463,0.471311475,0.782045939,99.9371057,230,52900,12,1,2,4,2,3,-1,0,-1,6,3,7,0.6,0.36,17,24,2.2,0.349773225,4.84,9.025013499,1.6,0.8,18,1,0,0,386,148996,5.955837369,67,4.7,110,0.308868502,0.272,0.344,0.43,0.773,0.481,-3,-0.3,0.704188482,0.295081967,0.217213115,6.814814815,0.04315197,0.262664165,0.075046904,0.099437148,0.613508443,0.24,549,301401,6.308098442,-0.8,1,0.5,-1.3,4.2,0.4,0.94,1.08,7,598,1620,7.390181428,1481,7.300472814,224,5.411646052,364,5.897153868,60,4.094344562,21,54,195,5.272999559,13,14,102,410,0.246,0.294,0.424,-0.858021824,0.718,87,4.465908119,628,6.442540166,41,3,27,729,7,12,1992,0,1.9,0,0,0,0,0,1,0,0,0,1970,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,88180732,18.29489904,1,13.87161282
1998,1,31,113,4.727387819,12769,360,5.886104031,325,35,72,15,1,7,36,1,0,26,51,0.221538462,0.288515406,0.338461538,0.626976945,62.58274329,110,12100,12,5,3,9,1,6,-18,0,-1,0,6,-12,-1.4,1.96,11,-1,-0.3,-0.956210102,0.09,0.740818221,-0.3,0.5,-1,1,0,0,269,72361,5.59471138,30,3,110,0.242537313,0.272,0.344,0.43,0.773,0.293,-18.8,-1.8,0.535849057,0.2,0.116923077,1.75,0.019444444,0.141666667,0.072222222,0.063888889,0.744444444,0.2,362,131044,5.891644212,-0.9,0.98,-1,0,-18,-1.7,1,1.03,8,700,2423,7.792761721,2170,7.682482447,214,5.365976015,527,6.267200549,116,4.753590191,2,57,285,5.65248918,3,5,159,356,0.243,0.304,0.377,-0.975510092,0.681,81,4.394449155,818,6.706862337,65,42,32,1024,20,26,1991,0,0.1,0,0,0,0,0,1,1,0,0,1967,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,69327527.74,18.05435261,1,14.69093683
1998,1,33,122,4.804021045,14884,422,6.045005314,390,63,121,25,2,20,56,1,1,28,79,0.31025641,0.360189573,0.538461538,0.898651112,130.68482,210,44100,16,3,0,0,1,2,18,-1,-2,-2,-3,8,0.8,0.64,15,23,2.2,0.349773225,4.84,9.025013499,2.5,-0.6,26,0,0,0,287,82369,5.659482216,70,6.891803279,109.3934426,0.345890411,0.271786885,0.340967213,0.430606557,0.771180328,0.608836066,16.4,1.6,0.842657343,0.3,0.228205128,1.904761905,0.047393365,0.187203791,0.066350711,0.111374408,0.691943128,0.243282051,430,184900,6.063785209,0.6,1.043606557,1.4,-0.9,8,0.7,1.006744186,1.547564103,10,943,3368,8.122074375,3096,8.037866235,436,6.077642243,832,6.723832441,169,5.129898715,19,138,471,6.154858094,91,36,229,688,0.269,0.321,0.469,-0.757152511,0.79,110,4.700480366,1453,7.281385664,73,19,2,4,22,10,1989,0,1.2,0,0,0,0,0,1,1,0,1,1965,0,2,0,0,0,0,0,0,0,7,3,0,1,0,0,0,1,9,0,2,0,0,0,0.222222222,0,0.222222222,3,0,0,0,0,71187064,18.08082167,1,13.06926635
